This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    97420
Number of nonzeros in inequality constraint Jacobian.:    10434
Number of nonzeros in Lagrangian Hessian.............:    99184

Total number of variables............................:    27871
                     variables with only lower bounds:     5229
                variables with lower and upper bounds:    22642
                     variables with only upper bounds:        0
Total number of equality constraints.................:    22619
Total number of inequality constraints...............:     5217
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     5217
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  45 5.5838180e-001 9.11e+000 2.83e+000  -3.8 5.37e-001  -1.2 3.72e-001 4.39e-001H  1
  46 5.5174320e-001 4.18e+000 1.32e+000  -3.8 3.99e-001  -0.8 3.20e-001 5.38e-001h  1
  47 5.2022825e-001 1.05e+000 3.96e-001  -3.8 2.59e-001  -1.3 6.38e-001 7.50e-001h  1
  48 4.1769507e-001 4.88e+000 5.66e-001  -3.8 2.36e+000  -1.7 2.74e-001 1.65e-001H  1
  49 4.3036682e-001 1.16e+000 2.09e+000  -3.8 1.21e-001  -0.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 4.2157085e-001 9.18e-001 1.65e+000  -3.8 1.46e-001  -0.9 5.08e-001 2.25e-001h  1
  51 4.0157916e-001 9.74e-002 2.75e-001  -3.8 6.87e-002  -0.5 7.03e-001 1.00e+000h  1
  52 3.7000281e-001 5.58e-002 1.16e-001  -3.8 1.08e-001  -0.9 1.00e+000 1.00e+000h  1
  53 3.0118143e-001 5.33e-001 2.02e-001  -3.8 2.37e-001  -1.4 5.65e-001 1.00e+000h  1
  54 2.9242757e-001 8.33e-001 1.95e-001  -3.8 1.87e+000  -1.9 2.61e-001 6.49e-002h  1
  55 2.3659020e-001 1.28e+000 1.79e-001  -3.8 1.74e+000  -2.4 6.31e-001 3.92e-001h  1
  56 1.9753461e-001 2.30e+001 2.56e-001  -3.8 8.77e-001  -2.8 9.83e-002 1.00e+000h  1
  57 1.9264654e-001 6.47e+000 8.20e-002  -3.8 4.94e-001  -2.4 9.10e-001 7.55e-001h  1
  58 1.8386579e-001 5.22e+000 9.91e-002  -3.8 1.35e+000  -2.9 5.09e-001 1.00e+000h  1
  59 1.7308404e-001 3.06e+001 2.65e-001  -3.8 2.91e+000  -3.4 8.87e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.6488050e-001 1.69e+002 5.65e-001  -3.8 1.00e+001  -3.8 5.11e-001 8.21e-001h  1
  61 1.6599883e-001 1.50e+002 3.69e-001  -3.8 5.47e+000  -3.4 2.14e-001 1.93e-001h  1
  62 1.6815826e-001 1.25e+002 3.13e-001  -3.8 1.37e+000  -3.0 9.94e-002 1.76e-001h  1
  63 1.5862600e-001 1.28e+002 2.99e-001  -3.8 7.58e+000  -3.5 5.98e-002 1.83e-002H  1
  64 1.6436456e-001 1.22e+002 2.81e-001  -3.8 1.15e+001  -3.0 4.46e-003 4.42e-002h  2
  65 1.6528099e-001 1.20e+002 2.78e-001  -3.8 9.38e+000  -3.5 8.54e-002 1.14e-002h  4
  66 1.6822226e-001 1.11e+002 2.55e-001  -3.8 1.32e+000  -3.1 1.07e-001 7.38e-002h  3
  67 1.6896167e-001 1.08e+002 2.46e-001  -3.8 1.95e+000  -3.6 1.47e-001 3.15e-002h  5
  68 1.7075832e-001 9.99e+001 2.27e-001  -3.8 1.03e+000  -3.1 3.41e-001 7.27e-002h  4
  69 1.8788957e-001 4.73e+001 5.11e-001  -3.8 2.53e+000  -3.6 2.66e-001 5.46e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 1.8289759e-001 3.13e+001 3.49e-001  -3.8 3.53e+000  -4.1 1.00e+000 3.49e-001h  1
  71 1.7545986e-001 8.52e+000 6.44e-002  -3.8 9.15e-001  -3.7 3.99e-001 1.00e+000h  1
  72 1.6903526e-001 5.26e+001 6.85e-002  -3.8 5.63e-001  -3.2 9.89e-001 1.00e+000h  1
  73 1.6640973e-001 6.99e+001 2.72e-001  -3.8 3.77e+000  -3.7 2.33e-001 6.69e-001h  1
  74 1.6879787e-001 4.92e+001 1.69e-001  -3.8 8.62e-001  -3.3 7.85e-001 5.00e-001h  2
  75 1.6775689e-001 1.65e+002 4.73e-001  -3.8 3.14e+000  -3.8 4.40e-001 1.00e+000h  1
  76 1.6445984e-001 1.22e+002 8.61e-001  -3.8 1.29e+001  -3.4 9.84e-002 1.87e-001h  1
  77 1.6520160e-001 1.06e+002 4.79e-001  -3.8 5.82e+000  -3.8 3.32e-002 1.81e-001h  1
  78 1.6536422e-001 1.00e+002 4.55e-001  -3.8 2.20e+000  -2.5 7.79e-002 4.94e-002h  2
  79 1.6971029e-001 1.96e+001 3.08e-001  -3.8 7.92e-001  -3.0 3.46e-001 9.59e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 1.6898474e-001 1.23e+001 2.14e-001  -3.8 3.11e+000  -3.5 7.26e-001 2.93e-001h  1
  81 1.6673057e-001 1.13e+002 5.84e-001  -3.8 2.22e+000  -3.0 8.55e-001 8.34e-001h  1
  82 1.6902863e-001 3.97e+001 6.71e-001  -3.8 6.74e-001  -2.6 3.21e-001 1.00e+000h  1
  83 1.6861846e-001 8.93e+000 1.14e-001  -3.8 1.16e+000  -3.1 8.56e-001 1.00e+000h  1
  84 1.6596304e-001 5.40e+001 2.29e-001  -3.8 7.73e-001  -3.6 6.15e-001 1.00e+000h  1
  85 1.6571969e-001 5.45e+001 1.91e-001  -3.8 1.27e+001  -4.0 8.26e-002 2.98e-002h  2
  86 1.6609882e-001 3.08e+001 9.18e-002  -3.8 1.15e+000  -4.5 1.00e+000 7.27e-001h  1
  87 1.6628746e-001 3.48e+000 2.33e-002  -3.8 3.91e-001  -4.1 1.00e+000 1.00e+000h  1
  88 1.6624889e-001 4.18e-001 8.26e-004  -3.8 3.19e-001  -3.7 1.00e+000 1.00e+000h  1
  89 1.6625080e-001 1.10e-002 2.12e-004  -3.8 1.03e-001  -3.2 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 1.6624820e-001 7.95e-003 2.70e-004  -3.8 5.30e-001  -3.7 1.00e+000 1.00e+000h  1
  91 1.6623171e-001 1.96e-002 2.31e-003  -3.8 6.02e-001  -3.3 9.35e-001 5.00e-001h  2
  92 1.6625233e-001 8.88e-003 2.13e-003  -3.8 6.83e-001    -  1.00e+000 1.00e+000h  1
  93 1.6625654e-001 8.90e-004 9.81e-005  -3.8 3.17e-001    -  1.00e+000 1.00e+000h  1
  94 7.4434695e-002 7.80e+000 2.07e-001  -5.7 3.91e-001    -  8.33e-001 8.90e-001f  1
  95 3.7466725e-002 4.62e+000 3.07e-002  -5.7 7.52e-002  -2.9 7.13e-001 9.99e-001h  1
  96 2.8319696e-002 8.92e-002 4.39e-003  -5.7 1.18e-001  -3.3 9.30e-001 1.00e+000h  1
  97 2.7619118e-002 9.98e-002 4.96e-003  -5.7 3.28e-001  -3.8 1.00e+000 1.30e-001h  1
  98 2.3089593e-002 1.20e-001 3.04e-003  -5.7 4.51e-001  -4.3 7.72e-001 5.72e-001h  1
  99 1.7362227e-002 3.93e-001 8.04e-003  -5.7 2.04e+000  -4.8 9.19e-003 8.40e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 1.4002809e-002 2.04e-001 1.10e-002  -5.7 3.18e+000    -  1.98e-001 3.85e-001h  1
 101 1.2583606e-002 1.61e-001 1.21e-002  -5.7 1.63e+000  -4.3 8.10e-002 1.78e-001h  1
 102 1.0489022e-002 8.46e-002 1.49e-002  -5.7 1.02e+000  -3.9 3.97e-002 4.36e-001h  1
 103 9.3365050e-003 8.42e-002 1.63e-002  -5.7 3.22e+001  -4.4 1.70e-004 2.51e-003h  1
 104 6.9466734e-003 7.89e-002 3.15e-002  -5.7 6.56e+000  -4.9 2.74e-002 4.61e-002h  1
 105 5.2757096e-003 3.31e-001 6.17e-002  -5.7 3.19e+000    -  1.45e-001 8.88e-001h  1
 106 4.5951828e-003 2.47e-001 4.79e-002  -5.7 1.97e-001  -3.5 1.88e-001 2.54e-001h  1
 107 4.1058972e-003 1.27e-001 3.03e-002  -5.7 3.66e-001  -4.0 4.91e-001 4.88e-001h  1
 108 3.8814100e-003 8.50e-002 3.16e-002  -5.7 4.76e+000    -  1.00e+000 1.00e+000h  1
 109 3.7524445e-003 1.53e-003 8.50e-003  -5.7 8.41e-001    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110 3.7301427e-003 9.14e-005 9.53e-004  -5.7 1.49e-001    -  1.00e+000 1.00e+000h  1
 111 3.7186576e-003 3.38e-005 1.49e-005  -5.7 3.27e-002    -  1.00e+000 1.00e+000h  1
 112 2.7767636e-003 6.25e-002 6.74e-003  -7.0 5.52e-001    -  6.47e-001 4.29e-001h  1
 113 1.4227369e-003 3.42e-001 1.15e-003  -7.0 5.90e-001    -  6.97e-001 8.10e-001h  1
 114 1.1993835e-003 3.52e-001 4.78e-003  -7.0 3.98e+000    -  3.24e-001 3.61e-001h  1
 115 1.1019884e-003 1.82e-001 2.41e-003  -7.0 2.49e-001  -4.5 7.69e-001 4.85e-001h  1
 116 1.1038227e-003 9.18e-002 5.69e-003  -7.0 4.79e-001  -3.2 1.00e+000 4.99e-001h  1
 117 1.1043455e-003 8.86e-002 5.82e-003  -7.0 4.55e+000  -3.6 3.43e-002 4.39e-002h  1
 118 1.1061072e-003 8.67e-002 1.21e-002  -7.0 1.98e+000  -2.3 4.28e-002 2.22e-002h  1
 119 1.1094921e-003 8.24e-002 3.34e-001  -7.0 4.56e-001  -1.9 5.37e-001 4.96e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 1.1433828e-003 9.79e-002 2.28e-001  -7.0 8.74e-001  -2.4 1.19e-001 6.18e-001h  1
 121 1.1645005e-003 7.39e-002 1.72e-001  -7.0 4.29e-001  -2.8 6.31e-001 2.90e-001h  1
 122 1.2110822e-003 6.28e-002 1.44e-001  -7.0 2.11e+000  -3.3 4.83e-001 1.70e-001h  1
 123 1.2173083e-003 6.26e-002 1.43e-001  -7.0 1.64e+001  -3.8 9.95e-002 2.66e-003h  5
 124 1.2985671e-003 5.60e-002 1.25e-001  -7.0 3.24e+000  -3.4 1.74e-001 1.23e-001h  2
 125 1.4936336e-003 4.57e-002 9.12e-002  -7.0 1.69e+000  -2.9 1.33e-001 2.50e-001h  1
 126 1.6674192e-003 4.08e-002 6.82e-002  -7.0 1.39e+000  -2.5 1.13e-001 1.57e-001h  1
 127 1.6818355e-003 4.05e-002 1.64e-001  -7.0 1.95e+000  -2.1 4.80e-002 6.97e-003h  1
 128 1.7270080e-003 3.84e-002 5.75e-002  -7.0 6.25e-001  -1.7 2.78e-002 7.67e-002h  1
 129 1.7428491e-003 3.79e-002 3.61e-001  -7.0 1.06e+000  -1.2 4.13e-002 1.44e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 1.7712881e-003 3.78e-002 2.46e-001  -7.0 8.76e-001  -0.8 3.36e-002 3.80e-002h  1
 131 1.7657797e-003 3.76e-002 5.12e+000  -7.0 1.38e+000   0.5 1.10e-003 1.10e-002h  1
 132 1.7665413e-003 3.63e-002 1.75e+001  -7.0 1.11e+000   0.0 9.39e-004 4.12e-002f  1
 133 1.7572530e-003 3.53e-002 1.82e+001  -7.0 6.57e-001  -0.4 8.74e-003 2.91e-002f  1
 134 1.4136974e-003 1.52e-002 1.54e+001  -7.0 4.90e-001  -0.9 1.78e-002 6.95e-001f  1
 135 1.3742742e-003 1.36e-003 1.72e+000  -7.0 2.35e-002  -1.4 9.57e-002 9.20e-001f  1
 136 1.3406850e-003 3.67e-005 6.17e-003  -7.0 1.06e-002  -1.9 9.82e-001 1.00e+000h  1
 137 1.2892449e-003 1.98e-004 1.22e-003  -7.0 1.72e-002  -2.3 1.00e+000 8.02e-001h  1
 138 1.2671411e-003 1.93e-002 4.53e-003  -7.0 4.52e+000    -  4.22e-001 1.99e-002f  3
 139 1.0725718e-003 1.01e-001 4.21e-003  -7.0 4.47e+000    -  3.25e-001 2.10e-001H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 7.8275961e-004 8.17e-002 1.10e-003  -7.0 3.84e+000    -  4.47e-001 6.09e-001h  1
 141 6.5812947e-004 9.52e-002 4.53e-003  -7.0 3.88e+000    -  2.48e-001 5.55e-001h  1
 142 6.6027132e-004 7.79e-002 5.79e-003  -7.0 9.89e-001    -  2.51e-001 1.85e-001h  1
 143 6.2340809e-004 5.99e-002 1.04e-002  -7.0 8.69e+000    -  5.77e-001 4.51e-001f  1
 144 6.3246270e-004 5.24e-002 7.06e-003  -7.0 6.46e+000    -  9.21e-001 6.86e-001h  1
 145 6.0268552e-004 3.45e-002 1.06e-003  -7.0 4.29e+000    -  6.02e-001 1.00e+000h  1
 146 6.0268343e-004 2.69e-002 8.21e-004  -7.0 5.93e-002  -2.8 9.83e-001 2.20e-001h  1
 147 5.9657763e-004 4.63e-003 3.62e-004  -7.0 1.27e+000    -  1.00e+000 1.00e+000f  1
 148 5.9623556e-004 4.67e-004 2.65e-005  -7.0 2.50e-001    -  1.00e+000 1.00e+000h  1
 149 5.9622446e-004 6.35e-006 1.71e-007  -7.0 2.37e-002    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150 5.9622452e-004 1.60e-008 1.90e-010  -7.0 1.32e-003    -  1.00e+000 1.00e+000h  1

Number of Iterations....: 150

                                   (scaled)                 (unscaled)
Objective...............:  5.9622451957988597e-004   5.9622451957988597e-004
Dual infeasibility......:  1.8959666291684383e-010   1.8959666291684383e-010
Constraint violation....:  1.6041775824371385e-008   1.6041775824371385e-008
Complementarity.........:  9.0933644080905005e-008   9.0933644080905005e-008
Overall NLP error.......:  9.0933644080905005e-008   9.0933644080905005e-008


Number of objective function evaluations             = 221
Number of objective gradient evaluations             = 151
Number of equality constraint evaluations            = 221
Number of inequality constraint evaluations          = 221
Number of equality constraint Jacobian evaluations   = 151
Number of inequality constraint Jacobian evaluations = 151
Number of Lagrangian Hessian evaluations             = 150
Total CPU secs in IPOPT (w/o function evaluations)   =     34.827
Total CPU secs in NLP function evaluations           =     32.645

EXIT: Optimal Solution Found.
      solver  :   t_proc      (avg)   t_wall      (avg)    n_eval
       nlp_f  |  31.00ms (140.27us)  30.66ms (138.75us)       221
       nlp_g  |   4.15 s ( 18.79ms)   4.15 s ( 18.78ms)       221
  nlp_grad_f  |  53.00ms (348.68us)  53.89ms (354.53us)       152
  nlp_hess_l  |  16.48 s (109.90ms)  16.48 s (109.89ms)       150
   nlp_jac_g  |  11.76 s ( 77.36ms)  11.76 s ( 77.37ms)       152
       total  |  67.47 s ( 67.47 s)  67.47 s ( 67.47 s)         1
Computation time solving OCP: 109.7098 s
