This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    72836
Number of nonzeros in inequality constraint Jacobian.:     7800
Number of nonzeros in Lagrangian Hessian.............:    74161

Total number of variables............................:    20847
                     variables with only lower bounds:     3912
                variables with lower and upper bounds:    16935
                     variables with only upper bounds:        0
Total number of equality constraints.................:    16912
Total number of inequality constraints...............:     3900
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     3900
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  45 2.9819974e+000 2.72e+001 1.93e+001  -1.0 1.27e+000    -  1.00e+000 1.00e+000h  1
  46 2.9960556e+000 7.46e+001 1.03e+002  -1.0 1.59e+000    -  5.17e-001 5.31e-001H  1
  47 2.9780682e+000 4.17e+000 2.30e+002  -1.0 7.86e-001  -0.4 6.62e-001 9.44e-001H  1
  48 2.9832949e+000 4.92e+000 5.60e+001  -1.0 1.10e+000  -0.9 1.00e+000 1.00e+000f  1
  49 2.9840880e+000 1.75e+000 1.83e+001  -1.0 8.68e-001  -1.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 2.9851321e+000 7.45e+000 2.10e+001  -1.0 2.55e+000    -  1.00e+000 5.00e-001h  2
  51 2.9835065e+000 1.21e+000 1.03e+001  -1.0 5.92e-001  -1.9 1.00e+000 1.00e+000h  1
  52 2.9830109e+000 4.98e-001 1.11e+000  -1.0 2.04e-001  -1.4 1.00e+000 1.00e+000h  1
  53 2.9829632e+000 2.73e-001 3.61e-001  -1.0 7.72e-002  -1.0 1.00e+000 1.00e+000h  1
  54 2.9427813e+000 8.46e-001 3.02e+000  -1.7 1.34e-001  -1.5 1.00e+000 1.00e+000h  1
  55 2.8393248e+000 1.54e-001 1.04e-001  -1.7 4.46e-002  -1.1 1.00e+000 1.00e+000h  1
  56 2.6504432e+000 3.34e-001 3.54e-001  -2.5 5.90e-002  -1.6 9.82e-001 1.00e+000h  1
  57 1.8812538e+000 7.25e+000 1.01e-001  -2.5 2.82e-001  -2.0 1.00e+000 1.00e+000h  1
  58 1.6933338e+000 1.37e+001 4.53e-002  -2.5 3.69e-001  -2.5 1.00e+000 1.00e+000h  1
  59 1.6672137e+000 9.95e+001 7.53e-001  -2.5 1.49e+000  -3.0 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.6673373e+000 9.92e+001 5.77e-001  -2.5 6.16e+000  -2.6 1.42e-001 5.05e-002h  3
  61 1.6661186e+000 8.84e+001 5.81e-001  -2.5 1.82e+000  -3.0 1.00e+000 3.84e-001h  2
  62 1.6658608e+000 2.46e+001 1.07e+000  -2.5 5.71e-001  -1.7 1.00e+000 5.00e-001h  2
  63 1.6650472e+000 8.09e+000 1.09e-001  -2.5 3.33e-001  -2.2 1.00e+000 1.00e+000h  1
  64 1.6647669e+000 3.69e-001 3.30e-002  -2.5 8.25e-002  -1.8 1.00e+000 1.00e+000h  1
  65 1.6642940e+000 5.54e+000 2.04e-001  -2.5 1.34e-001  -2.2 1.00e+000 1.00e+000h  1
  66 1.6640923e+000 9.33e-002 5.66e-002  -2.5 6.40e-002  -1.8 1.00e+000 1.00e+000h  1
  67 1.6636190e+000 3.75e+000 6.38e-002  -2.5 2.02e-001  -2.3 1.00e+000 1.00e+000h  1
  68 1.6622322e+000 7.84e+001 3.03e-001  -2.5 7.18e+000    -  2.03e-001 1.42e-001h  2
  69 1.6604639e+000 1.12e+001 1.97e-001  -2.5 7.81e-001    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 1.6600089e+000 2.75e+001 2.44e-001  -2.5 5.29e-001    -  1.00e+000 1.00e+000h  1
  71 1.6601752e+000 6.73e+000 5.35e-002  -2.5 2.62e-001    -  1.00e+000 1.00e+000h  1
  72 1.6601430e+000 3.85e-001 5.49e-003  -2.5 8.54e-002    -  1.00e+000 1.00e+000h  1
  73 9.8526843e-001 2.15e+001 4.89e-001  -3.8 1.72e+000    -  7.76e-001 1.00e+000h  1
  74 8.9428374e-001 1.74e+001 3.24e-001  -3.8 3.90e+000    -  3.22e-001 2.18e-001h  1
  75 4.4691702e-001 2.25e+001 2.98e-001  -3.8 1.09e+001  -1.9 7.33e-002 8.98e-002h  1
  76 3.2593880e-001 2.33e+001 4.99e-001  -3.8 3.09e+001  -2.3 1.95e-002 1.36e-002h  1
  77 2.8129381e-001 2.13e+001 6.89e-001  -3.8 5.50e+000  -1.9 1.03e-001 6.79e-002h  1
  78 2.0718710e-001 1.08e+001 4.20e-001  -3.8 4.83e-001  -1.5 2.40e-001 4.92e-001h  1
  79 1.8595382e-001 9.77e-001 2.84e-001  -3.8 2.54e-001  -2.0 2.72e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 1.7258026e-001 7.21e-001 5.04e-001  -3.8 1.30e-001  -1.5 7.20e-001 1.00e+000h  1
  81 1.5535184e-001 1.67e+000 1.36e-001  -3.8 2.49e-001  -2.0 9.17e-001 1.00e+000h  1
  82 1.4055366e-001 2.03e+000 1.45e-002  -3.8 2.62e-001  -2.5 1.00e+000 1.00e+000h  1
  83 1.3112326e-001 1.87e+000 8.32e-002  -3.8 5.36e-001  -3.0 2.15e-001 9.08e-001h  1
  84 1.2910935e-001 4.90e-001 1.08e-001  -3.8 5.07e-001  -3.4 1.00e+000 1.00e+000h  1
  85 1.2827177e-001 4.87e-001 6.69e-002  -3.8 1.78e+001  -3.9 7.98e-002 7.40e-002h  2
  86 1.2700702e-001 7.83e-002 2.56e-002  -3.8 3.29e-001  -3.5 9.18e-001 1.00e+000h  1
  87 1.2700142e-001 5.78e-003 2.48e-003  -3.8 2.98e-001  -4.0 1.00e+000 1.00e+000h  1
  88 1.2688703e-001 8.33e-003 9.01e-005  -3.8 5.53e-001  -4.4 1.00e+000 1.00e+000h  1
  89 1.1315678e-001 7.38e-001 4.00e-002  -5.7 1.36e+000  -4.9 6.04e-001 2.74e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 7.3476942e-002 1.45e+001 5.21e-002  -5.7 5.58e-001  -4.5 4.20e-001 8.03e-001h  1
  91 5.9612379e-002 4.98e+000 4.59e-002  -5.7 3.61e-001  -4.1 2.14e-001 6.36e-001h  1
  92 5.1684361e-002 2.06e+000 1.53e-002  -5.7 5.84e-001  -4.6 6.33e-001 5.73e-001h  1
  93 4.5041148e-002 8.64e-001 1.04e-002  -5.7 8.48e-001  -5.0 4.40e-001 5.52e-001h  1
  94 3.9947484e-002 3.78e-001 8.73e-003  -5.7 1.11e+000  -4.6 3.52e-001 5.50e-001h  1
  95 3.5819232e-002 2.51e-001 9.47e-003  -5.7 2.65e+000  -5.1 1.34e-001 5.11e-001h  1
  96 3.2184546e-002 7.06e-001 1.06e-002  -5.7 1.63e+000  -4.7 3.59e-001 8.42e-001h  1
  97 3.1198028e-002 1.13e+000 7.06e-003  -5.7 5.17e+000  -5.1 4.87e-002 1.68e-001h  1
  98 3.0572692e-002 9.97e-001 6.24e-003  -5.7 2.40e+000  -3.8 1.34e-001 1.31e-001h  1
  99 2.9962142e-002 7.81e-001 5.93e-003  -5.7 7.44e-001  -3.4 4.64e-002 2.28e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 2.8810319e-002 7.50e-001 7.40e-003  -5.7 1.02e+001  -3.9 2.00e-002 4.40e-002h  1
 101 2.7232578e-002 4.94e-001 1.96e-002  -5.7 6.56e-001  -3.4 1.17e-001 3.59e-001h  1
 102 2.6211613e-002 4.05e-001 1.22e-002  -5.7 2.97e+000  -3.9 2.51e-001 2.27e-001h  1
 103 2.5703223e-002 3.85e-001 9.73e-003  -5.7 6.79e+000  -4.4 2.98e-001 1.31e-001h  1
 104 2.5293891e-002 3.65e-001 7.14e-003  -5.7 1.00e+000  -4.0 5.84e-001 2.98e-001h  1
 105 2.5098130e-002 5.05e-001 1.03e-002  -5.7 1.28e+000  -4.4 5.31e-001 1.49e-001h  1
 106 2.4824183e-002 6.57e-001 6.41e-003  -5.7 4.07e-001  -4.0 5.69e-001 4.61e-001h  1
 107 2.4603891e-002 5.60e+000 2.41e-003  -5.7 4.52e-001  -4.5 4.55e-001 5.70e-001h  1
 108 2.4489492e-002 2.75e+000 7.58e-004  -5.7 1.67e-001  -4.1 1.00e+000 1.00e+000h  1
 109 2.4404044e-002 1.50e+001 4.34e-003  -5.7 3.23e-001  -4.5 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110 2.4380668e-002 5.07e-001 3.66e-004  -5.7 1.20e-001  -4.1 1.00e+000 1.00e+000h  1
 111 2.4340624e-002 1.42e+000 4.45e-004  -5.7 5.27e-001  -4.6 1.00e+000 1.00e+000h  1
 112 2.4320695e-002 6.14e-002 1.85e-005  -5.7 2.24e-001  -4.2 1.00e+000 1.00e+000h  1
 113 2.4285111e-002 7.57e-002 1.40e-004  -5.7 1.22e+000  -4.6 1.00e+000 5.98e-001h  1
 114 2.4120259e-002 8.55e-002 7.06e-003  -5.7 8.57e+000  -5.1 9.43e-001 7.98e-001h  1
 115 2.4091790e-002 3.86e-002 4.25e-003  -5.7 3.04e+000  -4.7 8.24e-001 1.00e+000h  1
 116 2.4081159e-002 3.32e-003 7.53e-004  -5.7 3.04e-001  -4.3 1.00e+000 9.20e-001h  1
 117 2.4037248e-002 1.87e-003 1.17e-004  -5.7 1.00e+000  -4.7 1.00e+000 1.00e+000f  1
 118 2.4033487e-002 1.91e-003 1.21e-003  -5.7 9.62e+000  -5.2 2.39e-001 2.33e-002h  2
 119 2.4040447e-002 1.34e-002 8.73e-004  -5.7 1.74e+000  -4.8 4.93e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 2.4030440e-002 1.28e-002 8.31e-004  -5.7 9.96e+000  -5.3 4.96e-001 6.19e-002h  2
 121 2.3989068e-002 5.63e-003 5.77e-004  -5.7 1.23e+000  -4.8 1.00e+000 8.72e-001h  1
 122 2.3969580e-002 2.03e-003 1.42e-004  -5.7 1.09e+000  -5.3 1.00e+000 1.00e+000f  1
 123 2.3964234e-002 6.60e-003 2.24e-004  -5.7 2.23e+000  -5.8 9.04e-001 5.58e-001h  1
 124 2.3977689e-002 1.14e-002 3.56e-004  -5.7 2.03e+000  -5.4 7.78e-001 1.00e+000f  1
 125 2.3969358e-002 2.79e-003 1.32e-004  -5.7 8.00e-001  -5.8 1.00e+000 1.00e+000h  1
 126 2.3966934e-002 2.09e-004 1.52e-005  -5.7 3.02e-001  -5.4 1.00e+000 1.00e+000h  1
 127 2.3967231e-002 1.29e-003 1.73e-004  -5.7 5.38e+001  -5.9 1.90e-002 1.06e-002h  3
